Date,CRIME_COUNT
2015-08-30,800
2015-12-12,752
2011-05-06,1063
2011-03-15,930
2011-09-01,1185
2011-09-05,935
2011-09-10,1092
2014-06-25,855
2014-08-09,887
2014-08-16,855
2015-05-01,954
2015-03-28,657
2016-01-28,751
2016-01-01,1173
2016-07-23,814
2016-08-12,746
2016-08-26,803
2010-01-05,912
2011-06-16,1029
2011-07-20,1019
2011-10-25,1061
2014-11-28,606
2014-12-19,768
2014-12-29,678
2020-08-21,656
2016-05-18,801
2016-05-29,798
2016-06-03,822
2016-10-27,730
2016-11-25,689
2009-01-17,981
2009-01-22,1013
2011-12-08,830
2012-01-14,781
2011-10-04,970
2012-01-20,685
2011-09-22,1130
2011-10-12,1066
2012-04-27,963
2012-05-01,1064
2012-05-15,1040
2012-01-31,964
2019-08-14,793
2019-09-23,766
2019-12-31,549
2020-04-28,465
2020-01-25,663
2016-12-18,526
2017-04-20,713
2017-04-29,616
2017-05-14,712
2016-11-20,663
2017-06-11,813
2009-04-22,1219
2009-04-27,1104
2012-03-02,881
2015-05-09,685
2012-05-29,1094
2012-06-15,1082
2012-06-26,957
2020-06-09,496
2013-08-22,906
2020-06-20,655
2020-07-24,630
2021-02-24,519
2021-03-02,505
2009-05-22,1199
2009-06-07,1007
2009-02-23,939
2009-08-10,1166
2009-07-26,1118
2009-09-04,1172
2009-09-14,1060
2017-11-24,683
2015-11-12,693
2012-10-13,875
2012-11-19,867
2012-09-07,960
2017-07-13,820
2017-07-22,755
2017-08-26,779
2017-09-19,708
2017-10-04,742
2020-11-03,616
2020-11-18,505
2021-03-22,605
2015-09-20,811
2009-10-10,1101
2009-10-24,1137
2009-03-25,1200
2012-12-23,764
2012-12-29,806
2019-07-07,775
2017-11-28,783
2013-05-24,936
2013-05-15,1037
2018-02-06,588
2020-03-22,377
2018-05-17,795
2015-03-15,779
2015-03-18,690
2021-07-11,532
2021-07-29,710
2021-08-19,557
2015-06-04,721
2010-02-20,912
2010-03-12,1157
2010-04-16,1123
2010-01-23,1045
2010-05-03,1112
2013-07-09,884
2013-02-05,789
2013-11-19,850
2019-07-10,837
2013-08-26,942
2019-11-25,694
2018-06-15,842
2018-08-01,943
2018-09-22,799
2018-10-05,654
2021-09-17,617
2021-11-23,498
2021-11-27,546
2010-05-29,1061
2015-06-08,682
2010-07-23,1092
2010-10-30,992
2019-02-01,775
2019-03-23,690
2019-03-31,636
2019-04-10,659
2014-03-04,627
2014-03-16,638
2014-04-06,709
2014-04-18,787
2014-04-24,769
2015-09-11,691
2015-10-13,741
2015-08-24,724
2015-07-01,890
2015-12-26,640
2011-06-15,1107
2011-03-24,893
2011-03-29,917
2014-06-29,906
2014-07-07,899
2014-07-18,874
2014-08-01,1083
2014-08-18,816
2014-05-15,753
2014-06-06,859
2014-06-10,673
2019-07-06,816
2014-11-11,675
2016-02-11,582
2016-02-19,775
2016-04-27,661
2016-06-30,847
2016-08-23,753
2017-10-01,852
2015-05-31,666
2020-03-28,470
2011-09-20,968
2011-08-03,1126
2011-11-14,963
2014-11-29,706
2015-01-02,674
2015-01-12,607
2014-09-29,800
2017-01-21,786
2016-10-12,746
2009-01-26,884
2012-01-25,962
2019-07-16,755
2020-01-31,709
2017-01-04,612
2017-02-16,671
2017-03-09,676
2016-09-09,818
2009-02-16,958
2009-03-16,1035
2012-05-24,1023
